"","BatsmanName","Team","Total.Innings","Total.Runs","No.of.times.BatsmanName.scored.more.than.10.runs","No.of.times.BatsmanName.scored.more.than.20.runs","Top.Team.Runs.Scorer","No.of.Times.BatsmanName.Hit.Atleast.One.Six","Percentage.of.No.of.times.BatsmanName.scored.more.than.10.runs","Percentage.of.No.of.times.BatsmanName.scored.more.than.20.runs","Percentage.of.Top.Team.Runs.Scorer","Percentage.of.No.of.Times.BatsmanName.Hit.Atleast.One.Six"
"1","Aaron Finch","Melbourne Renegades",42,1059,26,17,10,17,"61.9%","40.48%","23.81%","40.48%"
"2","Alex Carey","Adelaide Strikers",21,674,15,13,2,10,"71.43%","61.9%","9.52%","47.62%"
"3","Danny Briggs","Adelaide Strikers",7,55,1,1,0,1,"14.29%","14.29%","0.0%","14.29%"
"4","Jake Fraser-McGurk","Melbourne Renegades",32,536,15,11,2,13,"46.88%","34.38%","6.25%","40.62%"
"5","Jake Weatherald","Adelaide Strikers",39,866,21,14,3,15,"53.85%","35.9%","7.69%","38.46%"
"6","Jack Prestwidge","Melbourne Renegades",11,135,5,2,0,6,"45.45%","18.18%","0.0%","54.55%"
"7","Jono Wells","Melbourne Renegades",52,1164,35,24,7,15,"67.31%","46.15%","13.46%","28.85%"
"8","Matt Renshaw","Brisbane Heat",47,971,28,20,4,12,"59.57%","42.55%","8.51%","25.53%"
"9","Mackenzie Harvey","Melbourne Renegades",24,497,14,9,4,8,"58.33%","37.5%","16.67%","33.33%"
"10","Mohammad Nabi","Melbourne Renegades",14,185,6,2,0,3,"42.86%","14.29%","0.0%","21.43%"
"11","Phil Salt","Adelaide Strikers",15,310,8,8,0,4,"53.33%","53.33%","0.0%","26.67%"
"12","Ryan Gibson","Adelaide Strikers",15,154,4,4,0,3,"26.67%","26.67%","0.0%","20.0%"
"13","Rashid Khan","Adelaide Strikers",21,150,6,2,0,3,"28.57%","9.52%","0.0%","14.29%"
"14","Sam Harper","Melbourne Stars",44,840,21,14,5,14,"47.73%","31.82%","11.36%","31.82%"
"15","Ben Dwarshuis","Sydney Sixers",24,226,5,4,1,7,"20.83%","16.67%","4.17%","29.17%"
"16","Ben McDermott","Hobart Hurricanes",45,1436,28,20,11,25,"62.22%","44.44%","24.44%","55.56%"
"17","Carlos Brathwaite","Sydney Sixers",11,55,1,1,0,1,"9.09%","9.09%","0.0%","9.09%"
"18","Dawid Malan","Hobart Hurricanes",10,265,8,5,0,4,"80.0%","50.0%","0.0%","40.0%"
"19","D'Arcy Short","Adelaide Strikers",50,1186,35,23,2,16,"70.0%","46.0%","4.0%","32.0%"
"20","Daniel Hughes","Sydney Sixers",38,907,24,16,7,14,"63.16%","42.11%","18.42%","36.84%"
"21","Dan Christian","Sydney Sixers",41,625,19,11,2,16,"46.34%","26.83%","4.88%","39.02%"
"22","Jordan Silk","Sydney Sixers",48,1068,33,21,5,12,"68.75%","43.75%","10.42%","25.0%"
"23","James Vince","Sydney Sixers",42,1193,27,20,5,16,"64.29%","47.62%","11.9%","38.1%"
"24","Josh Philippe","Sydney Sixers",56,1460,34,26,8,25,"60.71%","46.43%","14.29%","44.64%"
"25","Moises Henriques","Sydney Sixers",44,1158,31,24,6,19,"70.45%","54.55%","13.64%","43.18%"
"26","Matthew Wade","Hobart Hurricanes",34,923,22,12,9,15,"64.71%","35.29%","26.47%","44.12%"
"27","Nick Winter","Hobart Hurricanes",2,0,0,0,0,0,"0.0%","0.0%","0.0%","0.0%"
"28","Nathan Ellis","Hobart Hurricanes",28,227,8,2,0,6,"28.57%","7.14%","0.0%","21.43%"
"29","Sean Abbott","Sydney Sixers",23,207,6,2,1,6,"26.09%","8.7%","4.35%","26.09%"
"30","Scott Boland","Hobart Hurricanes",9,30,0,0,0,0,"0.0%","0.0%","0.0%","0.0%"
"31","Tim David","Hobart Hurricanes",50,963,32,23,1,28,"64.0%","46.0%","2.0%","56.0%"
"32","Will Jacks","Hobart Hurricanes",8,79,3,2,0,2,"37.5%","25.0%","0.0%","25.0%"
"33","Adam Zampa","Melbourne Renegades",12,49,1,1,0,1,"8.33%","8.33%","0.0%","8.33%"
"34","Alex Hales","Sydney Thunder",46,1429,32,27,8,28,"69.57%","58.7%","17.39%","60.87%"
"35","Andre Fletcher","Melbourne Stars",12,206,7,1,0,5,"58.33%","8.33%","0.0%","41.67%"
"36","Alex Ross","Sydney Thunder",36,783,23,13,4,16,"63.89%","36.11%","11.11%","44.44%"
"37","Billy Stanlake","Melbourne Stars",3,3,0,0,0,0,"0.0%","0.0%","0.0%","0.0%"
"38","Ben Cutting","Sydney Thunder",29,509,17,11,0,13,"58.62%","37.93%","0.0%","44.83%"
"39","Baxter Holt","Sydney Thunder",5,43,2,1,0,0,"40.0%","20.0%","0.0%","0.0%"
"40","Ben Dunk","Melbourne Stars",5,69,3,2,0,2,"60.0%","40.0%","0.0%","40.0%"
"41","Clint Hinchliffe","Melbourne Stars",9,42,2,0,0,1,"22.22%","0.0%","0.0%","11.11%"
"42","Callum Ferguson","Sydney Thunder",15,405,11,10,0,5,"73.33%","66.67%","0.0%","33.33%"
"43","Chris Green","Sydney Thunder",30,304,9,4,2,7,"30.0%","13.33%","6.67%","23.33%"
"44","Daniel Sams","Sydney Thunder",40,592,16,12,2,15,"40.0%","30.0%","5.0%","37.5%"
"45","Glenn Maxwell","Melbourne Stars",35,1090,25,19,4,18,"71.43%","54.29%","11.43%","51.43%"
"46","Hilton Cartwright","Melbourne Stars",48,1129,37,23,9,28,"77.08%","47.92%","18.75%","58.33%"
"47","Jonathan Cook","Sydney Thunder",1,2,0,0,0,0,"0.0%","0.0%","0.0%","0.0%"
"48","Liam Hatcher","Sydney Thunder",8,45,1,0,0,3,"12.5%","0.0%","0.0%","37.5%"
"49","Marcus Stoinis","Melbourne Stars",39,925,22,16,2,17,"56.41%","41.03%","5.13%","43.59%"
"50","Nathan McAndrew","Sydney Thunder",31,250,10,3,0,7,"32.26%","9.68%","0.0%","22.58%"
"51","Nick Larkin","Melbourne Stars",30,598,16,11,4,6,"53.33%","36.67%","13.33%","20.0%"
"52","Usman Khawaja","Brisbane Heat",27,729,20,16,3,6,"74.07%","59.26%","11.11%","22.22%"
"53","Ashton Turner","Perth Scorchers",42,985,30,19,6,22,"71.43%","45.24%","14.29%","52.38%"
"54","Colin Munro","Brisbane Heat",43,1335,27,23,9,25,"62.79%","53.49%","20.93%","58.14%"
"55","Jack Edwards","Sydney Sixers",23,390,14,8,0,5,"60.87%","34.78%","0.0%","21.74%"
"56","Jason Roy","Perth Scorchers",12,355,10,8,0,5,"83.33%","66.67%","0.0%","41.67%"
"57","Jackson Bird","Sydney Sixers",6,39,2,0,0,0,"33.33%","0.0%","0.0%","0.0%"
"58","Josh Inglis","Perth Scorchers",49,1219,34,21,7,18,"69.39%","42.86%","14.29%","36.73%"
"59","Jake Ball","Sydney Sixers",1,4,0,0,0,0,"0.0%","0.0%","0.0%","0.0%"
"60","Lloyd Pope","Adelaide Strikers",2,0,0,0,0,0,"0.0%","0.0%","0.0%","0.0%"
"61","Liam Livingstone","Perth Scorchers",14,426,12,8,0,11,"85.71%","57.14%","0.0%","78.57%"
"62","Mitchell Marsh","Perth Scorchers",22,662,14,11,3,12,"63.64%","50.0%","13.64%","54.55%"
"63","Stephen O'Keefe","Sydney Sixers",9,27,1,0,0,0,"11.11%","0.0%","0.0%","0.0%"
"64","Beau Webster","Melbourne Stars",38,794,18,15,6,13,"47.37%","39.47%","15.79%","34.21%"
"65","Colin Ingram","Hobart Hurricanes",10,258,10,5,0,6,"100.0%","50.0%","0.0%","60.0%"
"66","Peter Handscomb","Melbourne Stars",28,434,18,10,1,7,"64.29%","35.71%","3.57%","25.0%"
"67","Rilee Rossouw","Sydney Thunder",14,232,7,3,2,4,"50.0%","21.43%","14.29%","28.57%"
"68","Shaun Marsh","Melbourne Renegades",30,926,21,17,7,14,"70.0%","56.67%","23.33%","46.67%"
"69","Cameron Bancroft","Sydney Thunder",35,906,23,18,6,11,"65.71%","51.43%","17.14%","31.43%"
"70","Jhye Richardson","Perth Scorchers",20,143,5,1,0,2,"25.0%","5.0%","0.0%","10.0%"
"71","Joe Clarke","Melbourne Renegades",35,955,22,17,7,20,"62.86%","48.57%","20.0%","57.14%"
"72","Oliver Davies","Sydney Thunder",34,662,20,13,4,15,"58.82%","38.24%","11.76%","44.12%"
"73","Ben Manenti","Adelaide Strikers",9,64,3,1,0,1,"33.33%","11.11%","0.0%","11.11%"
"74","Joe Burns","Melbourne Stars",19,315,11,7,0,6,"57.89%","36.84%","0.0%","31.58%"
"75","Jack Wildermuth","Brisbane Heat",12,131,4,4,1,4,"33.33%","33.33%","8.33%","33.33%"
"76","James Bazley","Adelaide Strikers",35,361,10,4,1,12,"28.57%","11.43%","2.86%","34.29%"
"77","Jimmy Peirson","Brisbane Heat",48,853,27,15,5,11,"56.25%","31.25%","10.42%","22.92%"
"78","Joe Denly","Brisbane Heat",12,223,8,4,0,4,"66.67%","33.33%","0.0%","33.33%"
"79","Lewis Gregory","Brisbane Heat",12,173,6,4,0,5,"50.0%","33.33%","0.0%","41.67%"
"80","Max Bryant","Brisbane Heat",38,778,25,17,3,16,"65.79%","44.74%","7.89%","42.11%"
"81","Sam Heazlett","Brisbane Heat",25,493,14,9,2,11,"56.0%","36.0%","8.0%","44.0%"
"82","Imad Wasim","Melbourne Stars",10,84,5,0,0,0,"50.0%","0.0%","0.0%","0.0%"
"83","Josh Lalor","Melbourne Renegades",6,13,0,0,0,0,"0.0%","0.0%","0.0%","0.0%"
"84","Kane Richardson","Melbourne Renegades",17,82,3,0,0,2,"17.65%","0.0%","0.0%","11.76%"
"85","Noor Ahmad","Melbourne Renegades",1,1,0,0,0,0,"0.0%","0.0%","0.0%","0.0%"
"86","Andrew Tye","Perth Scorchers",20,141,4,1,0,5,"20.0%","5.0%","0.0%","25.0%"
"87","Aaron Hardie","Perth Scorchers",43,1032,30,18,6,22,"69.77%","41.86%","13.95%","51.16%"
"88","Jason Behrendorff","Perth Scorchers",12,24,0,0,0,0,"0.0%","0.0%","0.0%","0.0%"
"89","Riley Meredith","Hobart Hurricanes",9,28,0,0,0,0,"0.0%","0.0%","0.0%","0.0%"
"90","Chris Lynn","Adelaide Strikers",43,1393,34,28,7,28,"79.07%","65.12%","16.28%","65.12%"
"91","Nicholas Pooran","Melbourne Stars",5,127,4,2,0,5,"80.0%","40.0%","0.0%","100.0%"
"92","Seb Gotch","Melbourne Stars",6,52,3,0,0,1,"50.0%","0.0%","0.0%","16.67%"
"93","Travis Head","Adelaide Strikers",11,115,4,2,0,2,"36.36%","18.18%","0.0%","18.18%"
"94","Benny Howell","Melbourne Renegades",2,0,0,0,0,0,"0.0%","0.0%","0.0%","0.0%"
"95","Jon Holland","Melbourne Renegades",1,5,0,0,0,0,"0.0%","0.0%","0.0%","0.0%"
"96","Peter Hatzoglou","Hobart Hurricanes",7,27,1,0,0,0,"14.29%","0.0%","0.0%","0.0%"
"97","Morne Morkel","Brisbane Heat",2,4,0,0,0,0,"0.0%","0.0%","0.0%","0.0%"
"98","Matthew Kuhnemann","Brisbane Heat",13,28,0,0,0,0,"0.0%","0.0%","0.0%","0.0%"
"99","Mark Steketee","Melbourne Stars",19,98,2,1,0,2,"10.53%","5.26%","0.0%","10.53%"
"100","Cameron Valente","Adelaide Strikers",1,1,0,0,0,0,"0.0%","0.0%","0.0%","0.0%"
"101","Daniel Worrall","Adelaide Strikers",10,92,1,1,0,1,"10.0%","10.0%","0.0%","10.0%"
"102","Liam O'Connor","Adelaide Strikers",1,2,0,0,0,0,"0.0%","0.0%","0.0%","0.0%"
"103","Wes Agar","Adelaide Strikers",15,69,2,0,0,0,"13.33%","0.0%","0.0%","0.0%"
"104","Sam Billings","Brisbane Heat",34,876,23,17,3,19,"67.65%","50.0%","8.82%","55.88%"
"105","Fawad Ahmed","Adelaide Strikers",4,6,0,0,0,0,"0.0%","0.0%","0.0%","0.0%"
"106","Lance Morris","Perth Scorchers",3,3,0,0,0,0,"0.0%","0.0%","0.0%","0.0%"
"107","Sam Rainbird","Melbourne Stars",6,32,1,0,0,0,"16.67%","0.0%","0.0%","0.0%"
"108","Zahir Khan","Melbourne Renegades",5,5,0,0,0,0,"0.0%","0.0%","0.0%","0.0%"
"109","Matt Short","Adelaide Strikers",46,1529,34,24,13,27,"73.91%","52.17%","28.26%","58.7%"
"110","Jason Holder","Sydney Sixers",3,62,3,1,0,3,"100.0%","33.33%","0.0%","100.0%"
"111","Nathan Coulter-Nile","Melbourne Stars",15,38,1,0,0,3,"6.67%","0.0%","0.0%","20.0%"
"112","Michael Neser","Brisbane Heat",26,236,5,3,3,3,"19.23%","11.54%","11.54%","11.54%"
"113","Marnus Labuschagne","Brisbane Heat",17,446,11,10,1,3,"64.71%","58.82%","5.88%","17.65%"
"114","Zak Evans","Melbourne Renegades",3,8,0,0,0,1,"0.0%","0.0%","0.0%","33.33%"
"115","Nic Maddinson","Melbourne Renegades",26,439,12,7,1,10,"46.15%","26.92%","3.85%","38.46%"
"116","Harry Nielsen","Adelaide Strikers",22,353,13,6,4,5,"59.09%","27.27%","18.18%","22.73%"
"117","James Faulkner","Hobart Hurricanes",4,44,2,1,0,1,"50.0%","25.0%","0.0%","25.0%"
"118","Macalister Wright","Hobart Hurricanes",14,293,8,5,2,6,"57.14%","35.71%","14.29%","42.86%"
"119","Peter Siddle","Adelaide Strikers",9,15,0,0,0,1,"0.0%","0.0%","0.0%","11.11%"
"120","Adam Milne","Sydney Thunder",4,8,0,0,0,0,"0.0%","0.0%","0.0%","0.0%"
"121","Johan Botha","Hobart Hurricanes",2,2,0,0,0,0,"0.0%","0.0%","0.0%","0.0%"
"122","Mujeeb Ur Rahman","Melbourne Renegades",9,27,1,0,0,1,"11.11%","0.0%","0.0%","11.11%"
"123","Xavier Bartlett","Brisbane Heat",18,198,6,4,2,4,"33.33%","22.22%","11.11%","22.22%"
